"Match_Importance","Rank_Ruud","Rank_Opp","Log_Rank_Ruud","Log_Rank_Opp","Five_Set","Hard","Grass","Clay","Indoor","Opp_Set_Perc","Opp_Court_Perc","H2H_Ruud","Pre_Ruud","Pre5_Ruud","Pre_Opp","Pre5_Opp","Odd_Ruud","Odd_Opp","Odd_Pred","Odd_Acc","Win"
90,11,117,2.39789527279837,4.76217393479776,1,1,0,0,0,50,66.6666666666667,50,1,0.6,1,0.6,1.08,8,1,0,0
45,10,109,2.30258509299405,4.69134788222914,0,1,0,0,0,73.936170212766,76.0493827160494,50,0,0.6,1,0.6,1.72,2.1,1,1,1
90,10,23,2.30258509299405,3.13549421592915,0,1,0,0,0,52,44.7368421052632,100,1,0.6,1,0.6,1.53,2.5,1,1,1
150,10,29,2.30258509299405,3.36729582998647,0,1,0,0,0,58.5480093676815,60.0806451612903,50,1,0.6,1,0.8,1.44,2.75,1,1,1
250,10,28,2.30258509299405,3.3322045101752,0,1,0,0,0,54.9618320610687,54.320987654321,50,1,0.8,1,0.8,1.9,1.9,1,1,1
90,10,85,2.30258509299405,4.44265125649032,0,1,0,0,0,48.0769230769231,40,100,1,0.8,1,0.6,1.08,8,1,1,1
180,10,31,2.30258509299405,3.43398720448515,0,1,0,0,0,50.7936507936508,55.3571428571429,50,1,1,1,0.6,1.36,3.2,1,1,1
180,10,15,2.30258509299405,2.70805020110221,0,1,0,0,0,54.4,56.5573770491803,40,1,1,1,0.8,1.4,3,1,0,0
90,8,31,2.07944154167984,3.43398720448515,0,0,0,0,1,51.4705882352941,53.8461538461538,100,0,0.8,0,0.6,1.72,2.1,1,1,1
90,8,23,2.07944154167984,3.13549421592915,0,0,0,0,1,51.4563106796116,55.5555555555556,100,1,0.8,1,0.6,1.36,3.2,1,1,1
180,8,11,2.07944154167984,2.39789527279837,0,0,0,0,1,66.6666666666667,75,0,1,0.8,1,1,3,1.4,0,1,0
90,8,36,2.07944154167984,3.58351893845611,0,0,0,0,1,52.3809523809524,55,100,0,0.6,1,0.4,1.3,3.5,1,1,1
180,8,57,2.07944154167984,4.04305126783455,0,0,0,0,1,52.9411764705882,57.8947368421053,50,1,0.6,1,0.6,1.33,3.4,1,1,1
360,8,4,2.07944154167984,1.38629436111989,0,0,0,0,1,68.2389937106918,66.6666666666667,0,1,0.8,1,1,3,1.4,0,1,0
